Date_,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY
2022-03-30,434.0557556152344,436.4214398536475,431.9455548784965,435.60762945908306,79666900
2022-03-31,427.37506103515625,434.1125250531456,426.9208392701977,433.2892715675178,121699900
2022-04-01,428.5863342285156,429.0973012788602,425.00942048618305,428.9553659870978,89048800
2022-04-04,432.2578430175781,432.3619481479705,427.96178092937987,428.78503448200854,59601000
2022-04-05,426.7978210449219,433.23247058270414,425.65283796639494,430.76271011439627,74214500
2022-04-06,422.5301208496094,424.8106439250677,419.64399762453365,422.8802663750546,106898000
2022-04-07,424.6592102050781,426.4760682966739,419.7007455820255,421.65006696641547,78097200
2022-04-08,423.5237731933594,426.4193687220367,421.981342273067,423.90227693918933,79272700
2022-04-11,416.2847595214844,421.0918174503352,415.7832355906516,420.24961995400275,89770500
2022-04-12,414.7423095703125,421.80150331220403,413.19040683522564,419.2749398176844,84363600
2022-04-13,419.4925842285156,420.24959162395425,414.3164660258067,414.49626033587003,74070400
2022-04-14,414.2691955566406,420.8363377308492,414.1650904269717,419.7197127519559,97869500
2022-04-18,414.4394836425781,416.123849633217,412.2062627473825,413.34180271144544,66002500
2022-04-19,421.129638671875,421.848787018053,414.1650495021856,414.33537183065033,77821000
2022-04-20,420.81732177734375,423.5236792719314,419.6534237389744,422.90860721160914,65224400
2022-04-21,414.524658203125,425.8326405645599,413.61624352930863,424.44161705872466,85417300
2022-04-22,403.1504821777344,414.54359749502777,402.5827121441921,413.43647336370464,132471800
2022-04-25,405.48773193359375,405.6580542602697,396.33725301076987,400.9077709224342,119647700
2022-04-26,393.74456787109375,403.1505325635227,393.716180809768,402.95179425625525,103996300
2022-04-27,394.8516540527344,400.198124069915,392.7130949238464,394.8232669941469,122030000
2022-04-28,404.8254089355469,406.55710623337256,395.16396112082083,399.601987737978,105449100
2022-04-29,389.8647766113281,402.9895886209459,389.1172122790781,400.8320856724879,145491100
2022-05-02,392.2115173339844,393.5741537158079,383.25974771045304,389.93099434604335,158312500
2022-05-03,394.00946044921875,396.4224469103301,391.15169530175734,392.7130700591638,100028200
2022-05-04,406.0081787109375,406.5759486887727,391.48287209472454,394.67180974349054,144247900
2022-05-05,391.5775146484375,402.16631958492377,387.44230322988835,401.7404848718178,172929100
2022-05-06,389.24029541015625,392.5143949581733,383.9317127901109,389.01319891928415,151770800
2022-05-09,376.77777099609375,384.5750561979862,375.19748138207063,383.3354400955876,155586100
2022-05-10,377.6484069824219,384.26285159656214,373.60782825671424,382.75827972149085,132497200
2022-05-11,371.6490173339844,382.3324561154293,370.9014529815829,376.6832006420824,142361000
2022-05-12,371.26104736328125,374.53514652082424,364.4573366484498,368.45061311196713,125090800
2022-05-13,380.1371154785156,381.51866715299093,374.35536749244255,375.396274457315,104174400
2022-05-16,378.59466552734375,382.26621234005705,376.2384531036934,378.4905892750784,78622400
2022-05-17,386.3824768066406,386.61904522716617,380.9508462343475,384.6886388298432,83029700
2022-05-18,370.8067932128906,382.1053033485448,369.5671769928699,381.82143279357103,117674500
2022-05-19,368.5357360839844,372.96431881468,366.31198717995636,367.7408696651366,98510700
2022-05-20,368.6966857910156,375.6991065243165,360.09505993665994,372.1221925167826,131432200
2022-05-23,375.5949401855469,376.36141951205695,369.40630258818845,371.7246556441584,76414900
2022-05-24,372.7277526855469,373.92003788214953,366.1700541533183,371.4691925228241,91448800
2022-05-25,376.02081298828125,377.98907865192785,370.8352510778718,371.2326698997725,91472900
2022-05-26,383.5341796875,385.1712435361306,377.0427561590206,377.2509375219795,82168300
2022-05-27,392.9495849609375,393.06313317262965,385.7957588445441,385.9944682150054,84768700
2022-05-31,390.74481201171875,394.08515718858496,388.00062391684565,391.33149711527295,95937000
2022-06-01,387.58428955078125,393.8770046632853,385.06719773018256,392.8645136255513,86585800
2022-06-02,394.9652099609375,395.01251209671574,385.1712709822698,387.42340710258367,79609600
2022-06-03,388.48333740234375,391.79529641390843,387.50867633406006,390.2433931870539,71874300
2022-06-06,389.6660461425781,394.22706332553315,388.4926471442496,392.4953952002465,57508900
2022-06-07,393.40380859375,393.8580303540427,385.7105989918035,386.1742927298047,59272400
2022-06-08,389.126708984375,393.4795741929143,388.33184246632624,391.69110286881636,64350000
2022-06-09,379.8721008300781,389.61870798841755,379.8721008300781,387.34765697732666,86289800
2022-06-10,368.85748291015625,374.5162101273659,368.8101807755536,373.6645695586442,132893900
2022-06-13,354.8526611328125,361.2967831487457,353.2439841844837,359.4420946590602,170004900
2022-06-14,353.7833557128906,357.6346967344851,350.6795790257293,356.60326183152415,104011800
2022-06-15,358.8269958496094,363.27446487884,352.1273619331276,357.08582684228884,125666800
2022-06-16,346.9512939453125,351.01081676127995,344.5193632718366,350.60392594515343,134473300
2022-06-17,347.69915771484375,351.0444479219139,344.19235133733406,347.3665544750161,111113900
2022-06-21,356.4519958496094,357.8395151338056,353.3538089384876,353.42985407891445,76811900
2022-06-22,355.80584716796875,359.92089960070416,351.80480446926504,352.22296583921377,90059400
2022-06-23,359.2935791015625,360.02534683784137,354.3802275814878,357.94408234086904,79292100
2022-06-24,370.7170104980469,370.72652339416055,362.4393697452781,362.467879430887,98050300
2022-06-27,369.3009338378906,371.93342448126845,368.20802402579585,371.63881476677494,66009600
2022-06-28,361.75506591796875,373.64409647087297,361.64102718888944,370.859544492515,86548900
2022-06-29,361.4603576660156,363.2945477317402,359.6356804926973,362.3061930139931,65676000
2022-06-30,358.52386474609375,361.7646008408261,354.0666671292307,357.56399038001507,112508300
2022-07-01,362.31573486328125,362.7529219458162,355.2450444294537,357.86805091376164,74839700
2022-07-05,363.0000305175781,363.0190563072348,354.38975859425415,357.221845993929,81438000
2022-07-06,364.22601318359375,366.7159554565062,360.75719981096245,363.1425872465519,70426200
2022-07-07,369.6810302734375,370.4793302796413,364.2449625145711,366.0031367080708,64525900
2022-07-08,369.3769836425781,371.2491967887842,366.516386504775,368.04645446042775,72397800
2022-07-11,365.15740966796875,367.66634894711177,364.4636353318297,366.6969906578774,58366900
2022-07-12,361.9260559082031,366.99149752590097,360.1773947183314,364.60608154818266,62219200
2022-07-13,360.025390625,362.96203282628903,356.06239989210513,356.48056122161495,84224600
2022-07-14,359.1510314941406,360.23442826193605,352.6220542011667,355.06446062617965,89704800
2022-07-15,366.0126953125,366.12673404152474,361.650539910931,363.56074662755304,79060400
2022-07-18,362.9905090332031,369.7760736131692,361.764534839165,369.1013252129824,63203600
2022-07-19,372.7982177734375,373.3684403556091,366.2597563730755,366.9154789894388,78506000
2022-07-20,375.17413330078125,376.5901914099878,371.619791193265,372.98831383414614,71843800
2022-07-21,378.99462890625,379.04213537491796,372.1900378364041,374.5944510061109,64903900
2022-07-22,375.47833251953125,380.3156692154652,373.2544900249175,379.1182334123545,72197300
2022-07-25,375.9344482421875,376.78976766133366,373.6915803624673,376.10550632547137,53631500
2022-07-26,371.48675537109375,374.4993845551237,370.59341339787153,374.29030390175836,52946400
2022-07-27,381.1329345703125,382.8815960228277,374.4898888264092,374.78449853291994,82342100
2022-07-28,385.9132385253906,386.60698374585616,378.38636390787866,381.9407350618802,73966600
2022-07-29,391.5394287109375,392.5278128008071,386.57854047512916,387.34833097700186,87003700
2022-08-01,390.3799133300781,392.8888811641739,388.1275616169894,388.84033261494034,69997500
2022-08-02,387.8044738769531,392.49926155328086,386.6260350117583,388.81185464934134,63435400
2022-08-03,393.87725830078125,395.0461841555904,389.6481388511842,389.9332356443753,67820600
2022-08-04,393.6112060546875,394.4855223283824,391.9670703405135,393.8012609389681,45656600
2022-08-05,392.9459228515625,393.5921616324373,389.2680289335886,389.32504829644654,56814900
2022-08-08,392.48974609375,396.8899240250277,391.3873233872075,394.63757214293867,53886100
2022-08-09,390.9311218261719,392.26162182953084,389.85720892972773,391.75793150673337,44931800
2022-08-10,399.14227294921875,399.28485036063125,396.03460162898654,397.9923437821938,68665700
2022-08-11,399.14227294921875,403.85608634972215,398.40099222133176,401.993357133819,59489700
2022-08-12,405.8993835449219,406.0039093837423,400.1306825479558,401.0810440036907,61694500
2022-08-15,407.57196044921875,408.09467660080554,403.6279665910464,403.68498595264106,54048300
2022-08-16,408.3702697753906,410.29950209001703,405.69024389909407,406.4980568196023,59289000
2022-08-17,405.4716491699219,408.1801847177208,403.4664007169476,404.76839107782297,63563400
2022-08-18,406.6501159667969,407.33434826924736,404.37873850839094,405.6712159722093,49023200
2022-08-19,401.1855163574219,404.1506388492187,400.31117123671885,403.884538856435,68016900
2022-08-22,392.8318176269531,396.5192238154388,391.928962863326,396.348136753099,77695600
2022-08-23,391.8815612792969,394.79917797760174,391.33033538049193,392.40424849113856,49105200
2022-08-24,393.135986328125,394.50447996842576,390.9691636437866,391.6533959625738,49177800
2022-08-25,398.6860656738281,398.73357213624024,393.53509482903235,394.62800448902925,50942300
2022-08-26,385.19091796875,399.1137045548559,385.1338986136642,398.57202068154095,103087000
2022-08-29,382.64398193359375,385.69463364222986,381.28497221012304,382.2353335276929,65370800
2022-08-30,378.44342041015625,384.0410632057968,376.3431297512481,383.80347284610536,85652400
2022-08-31,375.5638427734375,381.32303102305707,375.4308072476335,380.07805980425115,76029700
2022-09-01,376.74224853515625,377.08436469022797,370.678938652205,373.3874742240931,78740100
2022-09-02,372.76971435546875,381.62708880615634,370.95452075647603,380.4106274783638,99632100
2022-09-06,371.3632507324219,374.55645129385596,369.1394084122668,373.61560273606375,76637400
2022-09-07,378.0347595214844,378.8045499413538,370.8310328137159,371.0495973756983,70964200
2022-09-08,380.5056457519531,380.96180059480923,374.5563749860969,375.7633523475096,80821700
2022-09-09,386.41693115234375,387.28176346215974,382.4824212375365,382.74852125573165,76706900
2022-09-12,390.570068359375,391.29235238310486,388.1846517040693,388.4887743459273,69256300
2022-09-13,373.5870361328125,383.0906492168183,372.46561674955393,381.88367179340526,122947100
2022-09-14,375.0125427246094,376.5331264751755,371.70527524233233,374.8889911257345,85023700
2022-09-15,370.7549133300781,376.30501935694866,369.48143277964385,373.45393570599117,87633800
2022-09-16,367.92645263671875,368.5848978908551,364.634226366037,366.57141249187293,103084800
2022-09-19,370.77978515625,370.77978515625,364.70111961719556,364.77747715242447,73278500
2022-09-20,366.52374267578125,368.4609000016925,363.7659311992638,367.4493811490609,77274900
2022-09-21,360.13018798828125,371.5050138173394,360.12063601648464,368.4513532726731,106746600
2022-09-22,357.10516357421875,360.9985532046951,356.36083780125125,359.35721571534805,89472600
2022-09-23,351.1219482421875,353.66982042614035,346.67506820312684,353.63164165790215,122346900
2022-09-26,347.6483154296875,353.2784736820103,346.4268572694484,349.65227795932367,92581200
2022-09-27,346.76092529296875,353.459857136267,344.3657100991575,351.18870108949443,108294100
2022-09-28,353.58392333984375,355.27296245080464,346.01660643811806,347.71519752115427,110802200
